ts,value,namespace
1666196139,42,project-p5fvf
1666196154,46,project-p5fvf
1666196169,55,project-p5fvf
1666196184,59,project-p5fvf
1666196199,76,project-p5fvf
1666196214,85,project-p5fvf
1666196229,93,project-p5fvf
1666196244,99,project-p5fvf
1666196259,111,project-p5fvf
1666196274,118,project-p5fvf
1666196289,128,project-p5fvf
1666196304,140,project-p5fvf
1666196319,150,project-p5fvf
1666196334,157,project-p5fvf
1666196349,169,project-p5fvf
1666196364,176,project-p5fvf
1666196379,196,project-p5fvf
1666196394,206,project-p5fvf
1666196409,222,project-p5fvf
1666196424,228,project-p5fvf
1666196439,237,project-p5fvf
1666196454,244,project-p5fvf
1666196469,255,project-p5fvf
1666196484,259,project-p5fvf
1666196499,274,project-p5fvf
1666196514,284,project-p5fvf
1666196529,302,project-p5fvf
1666196544,309,project-p5fvf
1666196559,324,project-p5fvf
1666196574,327,project-p5fvf
1666196589,337,project-p5fvf
1666196604,345,project-p5fvf
1666196619,356,project-p5fvf
1666196634,361,project-p5fvf
1666196649,372,project-p5fvf
1666196664,376,project-p5fvf
1666196679,385,project-p5fvf
1666196694,387,project-p5fvf
1666196709,387,project-p5fvf
1666196724,387,project-p5fvf
1666196739,387,project-p5fvf
1666196754,387,project-p5fvf
1666196769,387,project-p5fvf
1666196784,387,project-p5fvf
1666196799,387,project-p5fvf
1666196814,387,project-p5fvf
1666196829,387,project-p5fvf
1666196844,387,project-p5fvf
1666196859,387,project-p5fvf
1666196874,387,project-p5fvf
1666196889,387,project-p5fvf
1666196904,387,project-p5fvf
1666196919,387,project-p5fvf
1666196934,387,project-p5fvf
1666196949,387,project-p5fvf
1666196964,387,project-p5fvf
1666196979,387,project-p5fvf
1666196064,0,project-rr9dm
1666196079,0,project-rr9dm
1666196094,1,project-rr9dm
1666196109,15,project-rr9dm
1666196124,22,project-rr9dm
1666196139,32,project-rr9dm
1666196154,34,project-rr9dm
1666196169,49,project-rr9dm
1666196184,57,project-rr9dm
1666196199,73,project-rr9dm
1666196214,76,project-rr9dm
1666196229,91,project-rr9dm
1666196244,94,project-rr9dm
1666196259,113,project-rr9dm
1666196274,119,project-rr9dm
1666196289,128,project-rr9dm
1666196304,133,project-rr9dm
1666196319,145,project-rr9dm
1666196334,153,project-rr9dm
1666196349,162,project-rr9dm
1666196364,167,project-rr9dm
1666196379,182,project-rr9dm
1666196394,190,project-rr9dm
1666196409,209,project-rr9dm
1666196424,214,project-rr9dm
1666196439,231,project-rr9dm
1666196454,240,project-rr9dm
1666196469,250,project-rr9dm
1666196484,256,project-rr9dm
1666196499,265,project-rr9dm
1666196514,269,project-rr9dm
1666196529,291,project-rr9dm
1666196544,297,project-rr9dm
1666196559,306,project-rr9dm
1666196574,315,project-rr9dm
1666196589,331,project-rr9dm
1666196604,342,project-rr9dm
1666196619,355,project-rr9dm
1666196634,360,project-rr9dm
1666196649,373,project-rr9dm
1666196664,379,project-rr9dm
1666196679,391,project-rr9dm
1666196694,393,project-rr9dm
1666196709,393,project-rr9dm
1666196724,393,project-rr9dm
1666196739,393,project-rr9dm
1666196754,393,project-rr9dm
1666196769,393,project-rr9dm
1666196784,393,project-rr9dm
1666196799,393,project-rr9dm
1666196814,393,project-rr9dm
1666196829,393,project-rr9dm
1666196844,393,project-rr9dm
1666196859,393,project-rr9dm
1666196874,393,project-rr9dm
1666196889,393,project-rr9dm
1666196904,393,project-rr9dm
1666196919,393,project-rr9dm
1666196934,393,project-rr9dm
1666196949,393,project-rr9dm
1666196964,393,project-rr9dm
1666196979,393,project-rr9dm
1666196064,0,project-szn5w
1666196079,0,project-szn5w
1666196094,6,project-szn5w
1666196109,26,project-szn5w
1666196124,32,project-szn5w
1666196139,47,project-szn5w
1666196154,53,project-szn5w
1666196169,64,project-szn5w
1666196184,68,project-szn5w
1666196199,81,project-szn5w
1666196214,90,project-szn5w
1666196229,100,project-szn5w
1666196244,107,project-szn5w
1666196259,120,project-szn5w
1666196274,127,project-szn5w
1666196289,138,project-szn5w
1666196304,147,project-szn5w
1666196319,160,project-szn5w
1666196334,163,project-szn5w
1666196349,173,project-szn5w
1666196364,180,project-szn5w
1666196379,192,project-szn5w
1666196394,193,project-szn5w
1666196409,207,project-szn5w
1666196424,211,project-szn5w
1666196439,225,project-szn5w
1666196454,234,project-szn5w
1666196469,248,project-szn5w
1666196484,252,project-szn5w
1666196499,265,project-szn5w
1666196514,276,project-szn5w
