ts,value,theme
1666593042,88,theme-5m9wt
1666593057,91,theme-5m9wt
1666593072,95,theme-5m9wt
1666593087,100,theme-5m9wt
1666593102,106,theme-5m9wt
1666593117,109,theme-5m9wt
1666593132,118,theme-5m9wt
1666593147,123,theme-5m9wt
1666593162,131,theme-5m9wt
1666593177,132,theme-5m9wt
1666593192,143,theme-5m9wt
1666593207,147,theme-5m9wt
1666593222,151,theme-5m9wt
1666593237,156,theme-5m9wt
1666593252,161,theme-5m9wt
1666593267,164,theme-5m9wt
1666593282,174,theme-5m9wt
1666593297,181,theme-5m9wt
1666593312,186,theme-5m9wt
1666593327,186,theme-5m9wt
1666593342,186,theme-5m9wt
1666593357,186,theme-5m9wt
1666593372,186,theme-5m9wt
1666593387,186,theme-5m9wt
1666593402,186,theme-5m9wt
1666593417,186,theme-5m9wt
1666593432,186,theme-5m9wt
1666593447,186,theme-5m9wt
1666592682,0,theme-5qqc5
1666592697,0,theme-5qqc5
1666592712,3,theme-5qqc5
1666592727,7,theme-5qqc5
1666592742,9,theme-5qqc5
1666592757,12,theme-5qqc5
1666592772,13,theme-5qqc5
1666592787,15,theme-5qqc5
1666592802,20,theme-5qqc5
1666592817,24,theme-5qqc5
1666592832,29,theme-5qqc5
1666592847,32,theme-5qqc5
1666592862,38,theme-5qqc5
1666592877,40,theme-5qqc5
1666592892,45,theme-5qqc5
1666592907,47,theme-5qqc5
1666592922,50,theme-5qqc5
1666592937,51,theme-5qqc5
1666592952,56,theme-5qqc5
1666592967,58,theme-5qqc5
1666592982,64,theme-5qqc5
1666592997,68,theme-5qqc5
1666593012,75,theme-5qqc5
1666593027,75,theme-5qqc5
1666593042,81,theme-5qqc5
1666593057,81,theme-5qqc5
1666593072,89,theme-5qqc5
1666593087,90,theme-5qqc5
1666593102,96,theme-5qqc5
1666593117,98,theme-5qqc5
1666593132,101,theme-5qqc5
1666593147,103,theme-5qqc5
1666593162,111,theme-5qqc5
1666593177,112,theme-5qqc5
1666593192,120,theme-5qqc5
1666593207,121,theme-5qqc5
1666593222,123,theme-5qqc5
1666593237,127,theme-5qqc5
1666593252,131,theme-5qqc5
1666593267,134,theme-5qqc5
1666593282,138,theme-5qqc5
1666593297,141,theme-5qqc5
1666593312,141,theme-5qqc5
1666593327,141,theme-5qqc5
1666593342,141,theme-5qqc5
1666593357,141,theme-5qqc5
1666593372,141,theme-5qqc5
1666593387,141,theme-5qqc5
1666593402,141,theme-5qqc5
1666593417,141,theme-5qqc5
1666593432,141,theme-5qqc5
1666593447,141,theme-5qqc5
1666592682,0,theme-6hnml
1666592697,0,theme-6hnml
1666592712,4,theme-6hnml
1666592727,8,theme-6hnml
1666592742,15,theme-6hnml
1666592757,18,theme-6hnml
1666592772,24,theme-6hnml
1666592787,24,theme-6hnml
1666592802,28,theme-6hnml
1666592817,32,theme-6hnml
1666592832,39,theme-6hnml
1666592847,42,theme-6hnml
1666592862,45,theme-6hnml
1666592877,45,theme-6hnml
1666592892,49,theme-6hnml
1666592907,55,theme-6hnml
1666592922,58,theme-6hnml
1666592937,60,theme-6hnml
1666592952,65,theme-6hnml
1666592967,69,theme-6hnml
1666592982,74,theme-6hnml
1666592997,79,theme-6hnml
1666593012,84,theme-6hnml
1666593027,87,theme-6hnml
1666593042,96,theme-6hnml
1666593057,95,theme-6hnml
1666593072,102,theme-6hnml
1666593087,106,theme-6hnml
1666593102,112,theme-6hnml
1666593117,115,theme-6hnml
1666593132,123,theme-6hnml
1666593147,125,theme-6hnml
1666593162,130,theme-6hnml
1666593177,132,theme-6hnml
1666593192,139,theme-6hnml
1666593207,145,theme-6hnml
1666593222,149,theme-6hnml
1666593237,152,theme-6hnml
1666593252,159,theme-6hnml
1666593267,159,theme-6hnml
1666593282,161,theme-6hnml
1666593297,161,theme-6hnml
1666593312,163,theme-6hnml
1666593327,163,theme-6hnml
1666593342,163,theme-6hnml
1666593357,163,theme-6hnml
1666593372,163,theme-6hnml
1666593387,163,theme-6hnml
1666593402,163,theme-6hnml
1666593417,163,theme-6hnml
1666593432,163,theme-6hnml
1666593447,163,theme-6hnml
1666592682,0,theme-7ftws
1666592697,0,theme-7ftws
1666592712,3,theme-7ftws
1666592727,6,theme-7ftws
1666592742,9,theme-7ftws
1666592757,11,theme-7ftws
1666592772,15,theme-7ftws
1666592787,17,theme-7ftws
1666592802,22,theme-7ftws
1666592817,26,theme-7ftws
1666592832,33,theme-7ftws
1666592847,37,theme-7ftws
1666592862,43,theme-7ftws
1666592877,45,theme-7ftws
1666592892,45,theme-7ftws
1666592907,49,theme-7ftws
1666592922,49,theme-7ftws
1666592937,51,theme-7ftws
1666592952,57,theme-7ftws
1666592967,57,theme-7ftws
1666592982,65,theme-7ftws
1666592997,66,theme-7ftws
1666593012,74,theme-7ftws
1666593027,73,theme-7ftws
1666593042,74,theme-7ftws
1666593057,80,theme-7ftws
1666593072,86,theme-7ftws
1666593087,87,theme-7ftws
1666593102,94,theme-7ftws
1666593117,97,theme-7ftws
1666593132,99,theme-7ftws
1666593147,102,theme-7ftws
1666593162,108,theme-7ftws
1666593177,111,theme-7ftws
1666593192,117,theme-7ftws
1666593207,119,theme-7ftws
1666593222,123,theme-7ftws
1666593237,123,theme-7ftws
1666593252,128,theme-7ftws
1666593267,132,theme-7ftws
1666593282,137,theme-7ftws
1666593297,142,theme-7ftws
1666593312,147,theme-7ftws
1666593327,147,theme-7ftws
1666593342,147,theme-7ftws
1666593357,147,theme-7ftws
1666593372,147,theme-7ftws
1666593387,147,theme-7ftws
1666593402,147,theme-7ftws
1666593417,147,theme-7ftws
1666593432,147,theme-7ftws
1666593447,147,theme-7ftws
1666592682,0,theme-7sz4x
1666592697,0,theme-7sz4x
1666592712,1,theme-7sz4x
1666592727,5,theme-7sz4x
1666592742,12,theme-7sz4x
1666592757,17,theme-7sz4x
1666592772,29,theme-7sz4x
1666592787,35,theme-7sz4x
1666592802,41,theme-7sz4x
1666592817,45,theme-7sz4x
1666592832,51,theme-7sz4x
1666592847,52,theme-7sz4x
1666592862,59,theme-7sz4x
1666592877,61,theme-7sz4x
1666592892,68,theme-7sz4x
1666592907,70,theme-7sz4x
1666592922,77,theme-7sz4x
1666592937,82,theme-7sz4x
1666592952,89,theme-7sz4x
1666592967,90,theme-7sz4x
1666592982,91,theme-7sz4x
1666592997,91,theme-7sz4x
1666593012,99,theme-7sz4x
1666593027,103,theme-7sz4x
1666593042,107,theme-7sz4x
1666593057,109,theme-7sz4x
1666593072,111,theme-7sz4x
1666593087,115,theme-7sz4x
1666593102,119,theme-7sz4x
1666593117,121,theme-7sz4x
1666593132,123,theme-7sz4x
1666593147,125,theme-7sz4x
1666593162,132,theme-7sz4x
1666593177,135,theme-7sz4x
1666593192,136,theme-7sz4x
1666593207,141,theme-7sz4x
1666593222,146,theme-7sz4x
1666593237,152,theme-7sz4x
1666593252,158,theme-7sz4x
1666593267,162,theme-7sz4x
1666593282,161,theme-7sz4x
1666593297,166,theme-7sz4x
1666593312,167,theme-7sz4x
1666593327,167,theme-7sz4x
1666593342,167,theme-7sz4x
1666593357,167,theme-7sz4x
1666593372,167,theme-7sz4x
1666593387,167,theme-7sz4x
1666593402,167,theme-7sz4x
1666593417,167,theme-7sz4x
1666593432,167,theme-7sz4x
1666593447,167,theme-7sz4x
1666592682,0,theme-7wf7b
1666592697,0,theme-7wf7b
1666592712,2,theme-7wf7b
1666592727,5,theme-7wf7b
1666592742,10,theme-7wf7b
1666592757,16,theme-7wf7b
1666592772,23,theme-7wf7b
1666592787,24,theme-7wf7b
1666592802,31,theme-7wf7b
1666592817,34,theme-7wf7b
1666592832,38,theme-7wf7b
1666592847,38,theme-7wf7b
1666592862,51,theme-7wf7b
1666592877,54,theme-7wf7b
1666592892,59,theme-7wf7b
1666592907,61,theme-7wf7b
1666592922,61,theme-7wf7b
1666592937,64,theme-7wf7b
1666592952,70,theme-7wf7b
1666592967,72,theme-7wf7b
1666592982,74,theme-7wf7b
1666592997,74,theme-7wf7b
1666593012,82,theme-7wf7b
1666593027,87,theme-7wf7b
1666593042,87,theme-7wf7b
1666593057,90,theme-7wf7b
1666593072,95,theme-7wf7b
1666593087,99,theme-7wf7b
1666593102,101,theme-7wf7b
1666593117,104,theme-7wf7b
1666593132,110,theme-7wf7b
1666593147,113,theme-7wf7b
1666593162,115,theme-7wf7b
1666593177,118,theme-7wf7b
1666593192,120,theme-7wf7b
