ts,value,namespace
1666194345,103,project-rg5fc
1666194360,106,project-rg5fc
1666194375,120,project-rg5fc
1666194390,129,project-rg5fc
1666194405,146,project-rg5fc
1666194420,155,project-rg5fc
1666194435,162,project-rg5fc
1666194450,172,project-rg5fc
1666194465,189,project-rg5fc
1666194480,193,project-rg5fc
1666194495,204,project-rg5fc
1666194510,209,project-rg5fc
1666194525,216,project-rg5fc
1666194540,224,project-rg5fc
1666194555,235,project-rg5fc
1666194570,239,project-rg5fc
1666194585,258,project-rg5fc
1666194600,264,project-rg5fc
1666194615,285,project-rg5fc
1666194630,288,project-rg5fc
1666194645,297,project-rg5fc
1666194660,306,project-rg5fc
1666194675,312,project-rg5fc
1666194690,319,project-rg5fc
1666194705,337,project-rg5fc
1666194720,348,project-rg5fc
1666194735,367,project-rg5fc
1666194750,372,project-rg5fc
1666194765,392,project-rg5fc
1666194780,393,project-rg5fc
1666194795,393,project-rg5fc
1666194810,393,project-rg5fc
1666194825,393,project-rg5fc
1666194840,393,project-rg5fc
1666194855,393,project-rg5fc
1666194870,393,project-rg5fc
1666194885,393,project-rg5fc
1666194900,393,project-rg5fc
1666194915,393,project-rg5fc
1666194930,393,project-rg5fc
1666194945,393,project-rg5fc
1666194960,393,project-rg5fc
1666194975,393,project-rg5fc
1666194990,393,project-rg5fc
1666195005,393,project-rg5fc
1666195020,393,project-rg5fc
1666195035,393,project-rg5fc
1666195050,393,project-rg5fc
1666195065,393,project-rg5fc
1666194150,0,project-rp9sp
1666194165,0,project-rp9sp
1666194180,8,project-rp9sp
1666194195,23,project-rp9sp
1666194210,30,project-rp9sp
1666194225,38,project-rp9sp
1666194240,43,project-rp9sp
1666194255,62,project-rp9sp
1666194270,65,project-rp9sp
1666194285,78,project-rp9sp
1666194300,82,project-rp9sp
1666194315,92,project-rp9sp
1666194330,100,project-rp9sp
1666194345,109,project-rp9sp
1666194360,118,project-rp9sp
1666194375,132,project-rp9sp
1666194390,142,project-rp9sp
1666194405,148,project-rp9sp
1666194420,155,project-rp9sp
1666194435,164,project-rp9sp
1666194450,169,project-rp9sp
1666194465,186,project-rp9sp
1666194480,193,project-rp9sp
1666194495,208,project-rp9sp
1666194510,214,project-rp9sp
1666194525,235,project-rp9sp
1666194540,244,project-rp9sp
1666194555,253,project-rp9sp
1666194570,264,project-rp9sp
1666194585,277,project-rp9sp
1666194600,281,project-rp9sp
1666194615,296,project-rp9sp
1666194630,299,project-rp9sp
1666194645,316,project-rp9sp
1666194660,320,project-rp9sp
1666194675,332,project-rp9sp
1666194690,338,project-rp9sp
1666194705,353,project-rp9sp
1666194720,361,project-rp9sp
1666194735,373,project-rp9sp
1666194750,384,project-rp9sp
1666194765,398,project-rp9sp
1666194780,398,project-rp9sp
1666194795,398,project-rp9sp
1666194810,398,project-rp9sp
1666194825,398,project-rp9sp
1666194840,398,project-rp9sp
1666194855,398,project-rp9sp
